GEOID,lon,lat,B01003_001E
06075033201,-122.47981474017736,37.72638035100281,3535
06075035201,-122.50974556288945,37.755445496539906,5136
06075035300,-122.49785890555185,37.74252896262004,6922
06075035400,-122.50736637953084,37.74222632289305,7154
06075040100,-122.46181499186113,37.78515889012822,4277
06075040200,-122.46838691401155,37.78433037344096,4903
06075042700,-122.488175998821,37.78227074300222,5365
06075042800,-122.48890768588478,37.78828023457794,2419
06075047600,-122.47554396079906,37.776773459107275,5208
06075017700,-122.41249199956602,37.76804416103393,2360
06075023400,-122.39005841528426,37.72158873331734,3811
06075025100,-122.40769317358341,37.74394074365349,3342
06075047701,-122.4840626517525,37.77825591390447,4742
06075060100,-122.48266606581939,37.81058264553131,3808
06075020300,-122.42943650540607,37.76493550755327,3372
06075020900,-122.41841341072193,37.75182125021345,3644
06075021000,-122.42284447091917,37.751588933157095,3739
06075021100,-122.42981545010824,37.75397088887251,4054
06075021200,-122.43812610568646,37.75317621791189,3052
06075021300,-122.43847461528503,37.7492624068554,2948
06075021400,-122.42939390525653,37.749571175382435,3522
06075021500,-122.42690555248961,37.744964014919276,5341
06075021600,-122.43813999331395,37.74549599537745,4417
06075021700,-122.43927739197302,37.740253438923446,4459
06075021800,-122.42913461418384,37.73792046951717,3999
06075022600,-122.38557163337886,37.759952798265594,4210
06075022802,-122.4062337459765,37.75891340001757,2236
06075022902,-122.41037866791525,37.75134408547816,2019
06075022903,-122.40621816716892,37.751761994996556,2675
06075023001,-122.40176163071907,37.73519273619027,5576
06075023003,-122.3958349192097,37.73267496565328,4025
